topic,source_word,en,de,nl,cs,it,es,PT-PT,ro,da,fr,pl,hu,el,NB
driving,separate,sˈɛpɹət,ɡətɾˈɛnt,ˈaːpɑrtə,sˈamostˌatneː strˈaːŋki,sepaɾˈato,sˌepaɾˈaɾ,sˌepɐɾˈadʊ,sˌepaɾˈat,sˌepɑʁˈ?ɑt,sepaʁˈe,ɔddʑˈɛlnɨ,kˈyløn,ksˌexoristˈo,sˈeːparˌat
driving,serve,sˈɜːv,dˈiːnən,sɛrvˈɪr,slˈoʊʒit,servˈire,seɾβˈiɾ,sɨɾəvˈiɹ,servˈiɾe,sεɐ̯ʋˈʔeʔʌ,sɛʁvˈiʁ,swˈuʒɨtɕ,sˈolɡaːʎjɑ kˈi ˈɑː,servˈiretˌe,sˈarveːra
driving,shell,ʃˈɛl,ʃˈɛl,sxˈɛlp,shˈel,konkˈiʎa,kˈontʃa,kˈoŋʃɐ,kˈɔaʒə,skˈal,kokˈij,pɔvwˈɔka,hˈeːj,cˈelifˌos,skˈɑl
driving,shirr,ʃˈɜː,ʃˈɪɾ,ʃˈɪɾr,shˈir,ʃˈirɾ,ʃˈir,ʃˈir,ʃˈir,ʃˈʔiɐ̯,ʃˈiʁ,ʃˈirr,ʃhˈir,(en)ʃˈɜː(el),shˈɪrr
driving,shred,ʃɹˈɛd,ʃrˈɛdɜn,ʃrˈɛt,skˈartovat,tritʊrˈare,tɾˌituɾˈaɾ,ʁˌetɐʎˈaɹ,sfˌəɾɨmˈat,mˌ?ɑkulˈʔeʔʌ,deʃiktˈe,stʃˈɛmp,ʃhrˈɛd,tˌemaçˈizi,mˈakʉːlˌeːra
driving,shuck,ʃˈʌk,ʃˈʏtəln,ʃˈɵk,shˈutsk,mandˈibola,ʃˈuk,kˈaʃkɐ,skwipˈat,sɡʁˈuː,ekajˈe,ʃˈutsk,ʃhˈutsk,(en)ʃˈʌk(el),skˈɑlla
driving,sieve,sˈɪv,zˈiːp,zˈeːf,sˈiːto,setˈatʃːo,tamˈiθ,pˌenˈeɪɾɐ,sˈitə,sˈʔeɡt,tamˈi,ɕˈitɔ,sˈitɑ,kˈoscinˌo,sˈiːl
driving,sift,sˈɪft,zˈɪçtən,zˈeːf,prˈosiːt,setatʃːˈare,tˌamiθˈaɾ,pˌeneɪɾˈaɹ,tʃernˈeɾe,sˈʔeɡt,tamizˈe,pʃɛɕˈɛvatɕ,sˈitaːlaːʃ,kˌoscinˈizo,sˈiːla
driving,simmer,sˈɪmɚ,kˈœçəln,sˈɵdərən,sˈimmer,pjʊ sˈemplitʃe,koθˈine a fwˈeɣo lˈɛnto,fˌeɾəviʎˈaɹ,fjˈerbe,sˈʔemʁʔʌ,miʒotˈe,duɕˈitɕɛl,pˈaːroʎjɑ,sˌiɣovrˈaste,smˈoːkuːka
driving,skewer,skjˈuːɚ,ʃpˈiːs,spˈis,ʃpˈiːs,spjedˈino,pˈintʃo,ʃpˈɛtʊ,tsepˈuʃə,spˈʔyð,bʁoʃˈɛt,ʃpikˈulɛts,ɲˈaːrʃ,suvlˈaci,spˈyːd
driving,skim,skˈɪm,ˈapʃˌœpfən,ˈɑfrˌoːmən,ˈottutʃɲˌovat,skremˈare,dˌesnatˈaða,dˌɨʒnɐtˈaɹ,dˌeɡresˈat,skˈɔmə,ekʁemˈe,ˌɔttwuʃtʃˈɔnɨ,lˈɛføløzni,(en)skˈɪm(el),skˈʉmma
driving,skin,skˈɪn,hˈaʊt,hˈœyt,kˈuːʒe,pˈɛlle,pjˈel,pˈɛlɨ,pjˈele,hˈʔuð,pˈo,skˈura,bˈøːr,ðˈerma,hˈʉːd
driving,slice,slˈaɪs,slˈiːkə,plˈɑk,plˈaːtek,fˈetːa,kˈoɾte,fˌɐtˈiɐ,fˈelje,skˈiʋə,tʁˈɑ̃ʃ,plastˈɛrɛk,sˈɛlɛt,fˈeta,ʃˈiːva
driving,sliver,slˈɪvɚ,bˈant,zˈɪlvər,slˈiver,skˈedʒːa,astˈiʎa,lˈaʃkɐ,ˈaʃkje,splˈʔentʌ,aʁʒˈɑ̃ likˈid,srˈɛbrɔ,ʃlˈivɛr,(en)slˈɪvə(el),splˈɪntər
driving,slow cook,slˈoʊ kˈʊk,lˈaŋzɑːm kˈɔxən,lˈɑŋzaːm kˈoːkən,pˈomaleː vˈar̝eɲiː,kotːˈura lˈɛnta,kˌoθinˈaɾ a fwˈeɣo lˈɛnto,kˌuzɨdˈuɾɐ lˈeɪŋtɐ,ɡətˈiɾe lˈentə,lˈ?ɑŋsʔʌm tˈʔelbeʁˌεðnʔeŋ,kyisˈɔ̃ lˈɑ̃t,pɔvˈɔlnɛ ɡˌɔtɔvˈaɲʲɛ,lˈɑʃʃuː fˈøːzeːʃ,arɣˈo majˈiremˌa,ʃlˈuːv kˈuːuːk
driving,smoke,smˈoʊk,rˈaʊx,rˈoːk,kˈoʊr̝,fˈumo,ˈumo,fˈumʊ,fˈum,ʁˈʔœj,fymˈe,dˈɨm,fˈyʃt,kapnˈos,rˈøyk
driving,snip,snˈɪp,ʃnˈɪpzəl,knˈɪp,sɲˈip,znˈip,snˈip,ʁˌɨkˈɔɾətɨ,snˈip,snˈʔep,snˈip,sɲˈip,ʃnˈip,(en)snˈɪp(el),klˈɪpː
driving,soak,sˈoʊk,ˈaɪnvˌaɪçən,ʋˈeːkən,nˈamaːtʃˌeɲiː,ammˈɔllo,rˌemoxˈaɾ,mˌeɾəɡuʎˈaɹ,ˌɨnmwiˈeɾe,blˈʔœðɡœˌʔʌ,tʁɑ̃pˈe,naɕˈɔŋkatɕ,ˈaːztɑtaːʃ,muʎˈaste,sˈʉːɡa
driving,soft boil,sˈɔft bˈɔɪl,vˈaɪçkɔxən,zˈɑxt kˈoːkən,mɲˈekiː vˈar,bollitˈura mˈɔrbida,eɾβˈoɾ swˈaβe,fˌeɾəvˈuɾɐ sˌuˈavɨ,fjerbˈeɾe mˈɔale,blˈʔœð kˈʔʌwnʔeŋ,ebylisjˈɔ̃ dˈus,mʲˈɛŋkkʲɛ ɡˌɔtɔvˈaɲʲɛ,lˈaːɟ fˌoraːʃ,mˌalakˈoz vrasmˈos,blˈœtkuːxˌɪŋ
driving,souse,sˈaʊs,zˈuːzə,sˈʌʊzə,sˈoʊse,kˈaza,kˈasa,kˈazɐ,ʃˈɔaɾetʃˌe,sˈʔusə,subwˈa,dˈɔm,hˈaːzikoː,sˈaltsa,sˈuːʉːsa
driving,sprinkle,spɹˈɪŋkəl,bəʃtɾˈɔøən,bəstrˈoːj,pˈosipat,sprʊtsːˈare,ˌespolβˌoɾeˈaɾ,pˌulviʎˈaɹ,prˌesəɾˈatsʲʲ,dʁˈʔys,sopudʁˈe,pɔsˈɨpka,sˈoːrjɑ mˌɛɡ,pˌaspalˈizumˌe,drˈys
driving,steam,stˈiːm,dˈampf,stˈoːm,pˈaːra,vapˈore,bapˈoɾ,vɐpˈoɹ,abˈur,dˈ?ɑmp,vapˈœʁ,pˈara,ɡˈøːz,atmˈos,dˈɑmp
driving,steep,stˈiːp,ʃtˈaɪl,stˈɛɪl,stˈr̩miː,rˈipido,ˌeskaɾpˈaðo,ˈiŋɡɹɨmɨ,abrˈupt,stˈ?ɑjl,ʁˈɛd,strˈɔmɨ,mˈɛrɛdɛk,apˈotomˌo,brˈɑtː
driving,stew,stˈuː,ʃtˈeːf,stˈoːf,ɡˈulaːʃ,stʊfˈato,ˌestofˈaðo,ɡˌizˈadʊ,tokˈanə,ɡʁˈyðəʁat,ʁaɡˈu,ɡˈulaʃ,pˈørkølt,stifˈaðo,lˈɑpskaʊs
driving,stir,stˈɜː,rˈyːrən,rˈurən,mˈiːxat,meskolˈare,reβwˈelβa,ˌɐʒitˈaɹ,amˈestek,ʁˈœʔʌ,ʁəmyˈe,mʲˈɛʃatɕ,kˈɛvɛrjyk,ˌanakatˈevumˌe,rˈøːra
driving,stir fry,stˈɜː fɹˈaɪ,ɡəbɾˈɑtənə zˈʊpə,rˌurbɑksxoːtˈɛl,mˈiːxaːɲiː smˈaʒeniːx pˈokr̩muː,frˈitːo mˈisto,sˌalteˈaðo,fɹitˈaɹ,stˈir frˈi,stˈʔiɐ̯ fʁˈʔy,sotˈe,smˈaʒɨtɕ,kˈɛvɛrɡɛtvɛ ʃˌylt,(en)stˈɜː fɹˈaɪ(el),vˈuːk
driving,strain,stɹˈeɪn,ʃtˈam,stˈɑm,kmˈen,tʃˈepːo,θˈepa,ʃtˈiɾəpɨ,tulpˈina,bʔelˈastnʔeŋ,sˈuʃ,ˌɔptɕɔ̃ʒˈɛɲʲɛ,tˈørʒ,stˈelexˌos,bəlˈɑstnɪŋ
driving,stuff,stˈʌf,zˈaxən,spˈɵl,vjˈetsi,rˈɔba,kˈosas,mˌɐtɨɾiˈɑl,lukrˈurʲ,tˈʔeŋ,tʁˈyk,ʒˈɛtʃɨ,tsˈutsː,prˈaɣmatˌa,tˈɪŋ
driving,sweat,swˈɛt,ʃvˈaɪs,zʋˈeːt,pˈot,sʊdˈore,suðˈoɾ,suˈɔr,trˌanspiɾˈatsje,sʋˈʔeð,syˈœʁ,pˈɔt,ˈizzɑtʃːaːɡ,iðrˈotas,svˈɛtːa
driving,sweeten,swˈiːʔn̩,fɛɾzˈyːsən,zˈutən,ˈoslaɟit,adːoltʃˈire,ˌendulθˈaɾ,ˌɐdusˈaɹ,ɨndˈultʃʲ,sˈʔœðmə,adusˈiʁ,swˈɔdʑitɕ,ˈeːdɛʃiːti,ɣlikˈani,sˈøːta
driving,temper,tˈɛmpɚ,tˌɛmpeːramˈɛnt,tˌɛmpɪːraːmˈɛnt,tˈemperˌament,temperamˈento,tˈemple,tˌeɪmpɨɾɐmˈeɪŋtʊ,tˌempeɾamˈent,tˌεmpʔeʁɑmˈ?ɑŋ,tɑ̃peʁˈam,tˌɛmpɛrˈamɛnt,tˈɛmpɛr,psˌixremˈia,tˈɛmpeːrˌamɛnt
driving,tenderize,tˈɛndɚɹˌaɪz,tsˈaɾt mˈaxən,ˈaːnbəstˌeːdən,tˈenderˌizovat,tenerˈetsːa,ˌaβlandˈaɾ,ɐmˌɐsiˈaɹ,lˌitʃitˈatsje,mˈʔœɐ̯nə,atɑ̃dʁˈiʁ,tˌɛndɛrˈizɛ,ɟˈɛnɡeːbːeː tˌɛnni,trˌiferˈi,mˈœrna
driving,thicken,θˈɪkən,ˈaɪndˌɪkən,vərdˈɪkən,zˈahuscit,adːensˈare,ˌespesˈaɾ,ˌeɪŋɡɹusˈaɹ,ɨŋɡrˈoʃa,fʔʌtˈʔykəlsə,epɛsˈiʁ,zaɡˈɛɲɕtɕitɕ,ʃˈyːryːʃødik,pˈiknosˌi,tˈykna
driving,thin,θˈɪn,dˈʏn,dˈɵn,tˈeŋkeː,sotːˈile,fˈino,fˈinʊ,subtsˈiɾe,tˈʔœn,mˈɛ̃s,tɕˈɛŋki,vˈeːkoɲ,leptˈo,tˈyn
driving,toast,tˈoʊst,tˈoːast,tˈoːɑst,tˈoast,brˈindizɪ,tostˈaðas,tˌuʁˈadɐ,tˈɔast,tˈɒwst,(en)tˈəʊst(fr),tˈɔast,pˈiriːtoːʃ,tˈost,tˈuːɑst
driving,top,tˈɑːp,tˈɔp,tˈɔp,tˈop,tˈɔp,tˈop,tˈɔpʊ,tˈop,tˈʔʌp,sɔmˈɛ,tˈɔp,tˈop,(en)tˈɒp(el),tˈɔpː
driving,toss,tˈɔs,tsuː vˈɛɾfən,ɣˈoːjən,hˈoɟit,lˈantʃo,ˈetʃa,ˌɐtiɾˈaɹ,ˌaɾunkˈaɾe,kˈasdə,lɑ̃sˈe,ʒˈut,dˈobjɑ,petˈakste,kˈɑsta
driving,trim,tɹˈɪm,tɾˈɪmən,trˈɪm,trˈim,assˈɛtːo,rˌekoɾtˈaɾ,ɡwˌɐɾənisˈɐ̃ʊ̃,ɡˌarnitˈuɾə,tʁˈʔim,ɡaʁnitˈyʁ,vˌɨkɔɲtʃˈɛɲʲɛ,trˈim,(en)tɹˈɪm(el),trˈiːm
driving,truss,tɹˈʌs,fˈaxvɛɾk,trˈɵss,pr̝̊ˈiːhradˌoveː kˈonstruktse,kapriˈata,bɾaɣˈeɾo,tɹˌelˈisɐ,trˈusə,bˈʔenʔeŋsʋˌεɐ̯k,tʁɛjˈi,krˌatɔvɲˈitsa,fˈyrtːɑrtoː,zefktˈa,fˈɑɡvark
driving,turn,tˈɜːn,dɾˈeːən,drˈaːj,ˈototʃit,dʒirˈare,xˈiɾe ˈa,vˈɔltɐ,rˈɨndul sˈəʊ,ʋˈεnə,tuʁnˈe,ˈɔbrut,fˈorduʎjon,jirˈiste,snˈʉː
driving,uncured,ʌŋkjˈʊɹd,ˈʊnaʊsɡəhˌɛɾtət,nˌitˈœytɣəhˌɑrt,nˈevitvˌr̩zeneː,non polimeridzːˈato,sin kuɾˈaɾ,nˌɐ̃ʊ̃ kˌuɾˈadʊ,nˌevindekˈat,uhˈεɐ̯dəð,nɔ̃ ɡeʁˈi,ɲʲˌɛutfardʑˈɔnɨ,kˈikɛmeːɲiːtɛtlɛn,mˈi sklˌirimˈeno,ˈʉːharda
driving,unmold,ʌnmˈoʊld,ɛntfˈɔɾmən,ɔntvˈɔrmən,ˈotformˌovaːɲiː,zmodellˈare,dˌesmolðˈaɾ,dˌɨzeɪŋfuɾəmˈaɹ,dˌeformˈaɾe,ˈ?ɑwfʌːmnˌʔeŋ,demulˈe,rˌɔsfɔrmɔvˈaɲʲɛ,ˈolɟɑ fˈɛl ˈɑː,ksˌeðiplˈoste to,ˈʉstœpt
driving,warm,wˈɔːɹm,vˈaɾm,ʋˈɑrm,tˈepleː,kˈaldo,kaljˈɛnte,kˈentɨ,kˈald,ʋˈɑm,ʃˈo,tɕˈɛpwɨ,mˈɛlɛɡ,zestˈo,vˈɑrm
driving,wash,wˈɑːʃ,vˈaʃən,ʋˈɑs,mˈiciː,lavˈadʒːo,laβˈaɾ,lˌɐvˈaʒeɪŋ,spəlˈaɾe,ʋˈask,lavˈe,prˈaɲʲɛ,mˈoʃaːʃ,plˈinetˌe to,vˈɑsk
driving,wedge,wˈɛdʒ,kˈaɪl,ʋˈɪx,klˈiːn,kˈuneo,kˈuɲa,kˈũɲɐ,pˈanə,kˈilə,kˈal,klˈin,ˈeːk,sfˈina,xˈiːla
driving,whip,wˈɪp,pˈaɪtʃə,zʋˈeːp,bˈitʃ,frˈusta,lˈatiɣo,ʃˌikˈɔtɨ,bˈitʃʲ,pˈʔisk,fwˈɛ,bˈat,ˈoʃtor,mastˈijo,pˈɪsk
driving,whisk,wˈɪsk,ʃnˈeːbeːzən,ɣˈɑrdə,ʃlˈehatʃ,frˈusta,bˌatiðˈoɾ,bˌɐtɨdˈoɹ,bətˈaɪe,pˌʔiskʔʌʁˈis,fwˈɛ,tʃɛpˈatʃka,hˈɑbvɛrøː,sˈirma,vˈɪsp
driving,zap,zˈæp,tsˈapfən,zˈɑpən,zˈap,dzˈap,θˈap,(en)zˈapɪŋ(pt-pt),zˈap,sˈap,zˈap,zˈap,zˈɑp,(en)zˈap(el),sˈap
driving,zest,zˈɛst,ʃˈɛɾfə,aːnˈimoː,kˈuːra,skˈɔrtsa,rˌaʎaðˈuɾa,ʁˈaʃpɐ,zˈest,skˈɑphʔeð,zˈɛst,zˈapaw,zˈɛʃt,ksˈisma,ɡlˈøːd
emotions,acceptance,ɐksˈɛptəns,ˈaktsɛptˌants,ˌɑksɛptˈaːtsi,pr̝̊ˈijeciː,atʃːetːatsiˈone,ˌaθepːtaθjˈon,ˌɐseɪtɐsˈɐ̃ʊ̃,ˌaktʃeptˈaɾe,?ɑksˈεpt,aksɛptasjˈɔ̃,ˌaktsɛptˈatsja,ˈɛlfoɡɑdaːʃ,ˌapoðoçˈi,ˈɑksɛpt
emotions,admiration,ˌædmɚɹˈeɪʃən,bəvˈʊndərˌʊŋ,bəʋˈɔndərˌɪŋ,ˈobɟiv,ammiratsiˈone,ˌadmiɾaθjˈon,ˌɐdmiɾɐsˈɐ̃ʊ̃,ˌadmiɾˈatsje,bʔeˈɒndʁʔeŋ,admiʁasjˈɔ̃,pˈɔdʑif,tʃˈodaːlɑt,θˌavmasmˈos,bəˈʉnnrɪŋ
emotions,adoration,ˌædɚɹˈeɪʃən,ˈanbətˌʊŋ,ˈaːnbˌɪdɪŋ,ˈadorˌatse,adoratsiˈone,ˌaðoɾaθjˈon,ˌɐduɾɐsˈɐ̃ʊ̃,ˌadoɾˈatsje,tˈʔelbeðəlsə,adoʁasjˈɔ̃,ˌadɔrˈatsja,ˈimaːdɑt,latrˈia,tˈɪlbeːdˌɛlsa
emotions,affection,ɐfˈɛkʃən,tsuːnˈaɪɡʊŋ,ɣənˈeːɣənhˌɛɪt,nˈaːklonost,affˈɛtːo,afˈekto,ˌɐfˈɛtʊ,ˌafektsjˈune,hˈεnɡiʋənhˌʔeð,afɛksjˈɔ̃,utʃˈutɕɛ,sˈɛrɛtɛt,storjˈi,hˈɛŋiːvˌɛnhət
emotions,afraid,ɐfɹˈeɪd,ˈaŋst,bˈɑŋ,strˈax,paˈʊra,mjˈeðo,kˈom mˈedʊ,speɾjˈat,bˈ?ɑŋə,efʁɛjˈe,ɔbˈavʲatɕ ɕɛ,fˈeːlɛlɛm,fovˈame,rˈɛdː
emotions,aggravation,ˌæɡɹɐvˈeɪʃən,fɛɾʃlˈɪmərˌʊŋ,vərzʋˈaːrɪŋ,shˈorʃeɲiː,aɡːravamˈento,ˌaɣɾaβaθjˈon,ˌɐɡɹɐvɐmˈeɪŋtʊ,ˌaɡravˈaɾe,fʔʌʋˈεʁʔeŋ,aɡʁavasjˈɔ̃,pˌɔɡɔrʃˈɛɲʲɛ,ʃˈuːjoʃbodaːʃ,ˌepiðˈinosˌi,fˈɔrvarrˌɪŋ
emotions,aggressive,ɐɡɹˈɛsɪv,ˌaɡɾɛsˈiːf,ˌɑɣrɛsˈif,ˈaɡresˌivɲiː,aɡːressˈivo,ˌaɣɾesˈiβo,ˌɐɡɹɨsˈivʊ,ˌaɡresˈiv,ˈaɡʁεsˌʔiw,aɡʁɛsˈif,ˌaɡrɛsˈɨvnɨ,ˈɑɡrɛssiːv,ˌepiθˌetikˈo,ˈɑɡːrəssˌiːv
emotions,agitation,ˌædʒɪtˈeɪʃən,ˌɑɡiːtatsjˈoːn,ˌaːɣitˈaːtsi,ˈaɡitˌatse,adʒitatsiˈone,ˌaxitaθjˈon,ˌɐʒitɐsˈɐ̃ʊ̃,ˌadʒitˈatsje,ˈʔʌmʁœʁˌʔeŋ,aʒitasjˈɔ̃,pˌɔbudʑˈɛɲʲɛ,ˈizɡɑtotʃːaːɡ,anˈaðefsˌi,ˈʉːruː
emotions,agony,ˈæɡəni,ˌɑɡoːnˈiː,lˈɛɪdənsʋˌɛx,ˈaɡoːnˌije,aɡonˈia,ˌaɣonˈia,ˌɐɡunˈiɐ,ˌaɡonˈie,smˈɛɐ̯də,aɡonˈi,aɡˈɔɲʲa,ˈɑɡoːniɑ,ˌaɣonˈia,smˈarta
emotions,agreeable,ɐɡɹˈiːəbəl,ˈanɡənˌeːm,ˈaːnɣənˌaːm,pr̝̊ˈiːjemneː,ɡradˈevole,ˌaɣɾaðˈaβle,ˌɐɡɹɐdˈavˌɛl,aɡrˈeabil,bʔehˈajəlʔi,aɡʁeˈabl,pʃɨjˈɛmnɨ,kˈɛllɛmɛʃ,efxˈaristˌo,bəhˈaɡeːlˌɪ
emotions,alarm,ɐlˈɑːɹm,alˈaɾm,ˈaːlɑrm,ˈalarm,allˈarme,alˈaɾma,ˌɐlˈaɾəmɨ,alˈarmə,alˈɑɐ̯m,alˈaʁm,ˈalarm,rˈiɑstaːʃ,sˌinajermˈos,ˈalɑrm
emotions,alienation,ˌeɪliənˈeɪʃən,fɛɾfrˈɛmdʊŋ,vərvrˈeːmdɪŋ,ˈottsizˌeɲiː,alienatsiˈone,ˌaljenaθjˈon,ˌɐliˌenɐsˈɐ̃ʊ̃,ˌaljenˈaɾe,fʁˈ?aməðɡœˌʔʌlsə,aljenasjˈɔ̃,ˌaljɛnˈatsja,ˈɛlidɛɡɛniːteːʃ,ˌapoksˈenosˌi,frˈɛmmədjˌøːrɪŋ
emotions,amazement,ɐmˈeɪzmənt,ɛɾʃtˈaʊnən,vərbˈaːzɪŋ,ˈuːɟiv,stʊpˈore,asˈombɾo,ʃpˈɐ̃ŋtʊ,uɪmˈiɾe,fʔʌblˈʔœfəlsə,etɔnmˈɑ̃,zdumjˈɛɲʲɛ,ˈaːmulɑt,katˈapliksˌi,fˈɔrblœffˌɛlsa
emotions,amusement,ɐmjˈuːzmənt,fɛɾɡənˈyːɡʊŋspˌaɾk,ˌaːmyzəmˈɛnt,zˈaːbava,divertimˈento,ˌatɾakθjˈones,dˌivɨɾəsˈɐ̃ʊ̃,ˌamuzamˈent,ˈɒnʔʌhˌʔʌlnʔeŋ,amyzmˈɑ̃,rɔzrˈɨfka,sˈoːrɑkozaːʃ,ðˌiascˈeðasˌi,ˈʉnnarhˌɔllnɪŋ
emotions,anger,ˈæŋɡɚ,vˈuːt,bˈoːshɛɪt,hɲˈev,rˈabːia,ˈiɾa,ʁˈaɪvɐ,fˈuɾje,ʋʁˈɛðə,kolˈɛʁ,zwˈɔɕtɕ,dˈyh,θimˈos,sˈɪnna
emotions,angry,ˈæŋɡɹi,vˈyːtənt,bˈoːs,rˈozzlobˌeniː,arɾabːjˈato,ˌenfaðˈaðo,zˌɐ̃ŋɡˈadʊ,fuɾjˈos,ʋʁˈɛð,ɑ̃ kolˈɛʁ,zwˈɨ,dˈyhøʃ,θˌimomˈenos,sˈɪnt
emotions,anguish,ˈæŋɡwɪʃ,ˈɛŋstə,ˈɑŋst,ˈuːskost,anɡˈɔʃa,aŋɡˈustja,ˌɐ̃ŋɡˈuʃtjɐ,aŋɡˈɔasə,ˈ?ɑŋst,ɑ̃ɡwˈas,udrˈɛŋka,sˈoronɡaːʃ,ˌaɣonˈia,ˈɑŋst
emotions,annoyance,ɐnˈɔɪəns,ˈɛɾɡɜnˌɪs,ˈɛrɣərnˌɪs,ˈopceʒˌovaːɲiː,fastˈidio,molˈestja,ˌiŋkˈɔmudʊ,ˌenervˈaɾe,ˌʔiʁʔitaʃˈʔon,ʒˈɛn,ˌirɨtˈatsja,bˈossuːʃaːɡ,enˈoxlisˌi,ˈɪrriːtˌɑʃuːn
emotions,anticipation,æntˈɪsɪpˈeɪʃən,fˈoːɾfrˌɔødə,ˌɑntisipˈaːtsi,ˈotʃekˌaːvaːɲiː,antitʃipatsiˈone,ˌantiθˌipaθjˈon,ˌɐ̃ŋtɨsˌipɐsˈɐ̃ʊ̃,antitʃipˈaɾe,fʔʌʋˈεntnʔeŋ,ɑ̃tisipasjˈɔ̃,pʃˌɛvidɨvˈaɲʲɛ,vˈaːrɑkozaːʃ,prˈovlepsˌi,fˈɔrvəntnˌɪŋ
emotions,anxiety,æŋzˈaɪəɾi,ˈɛŋstə,ˈɑŋst,ˈuːskost,ˈansia,ˌansjeðˈad,ˌɐ̃ŋsiɨdˈadɨ,ˌanksjetˈate,ˈ?ɑŋst,lɑ̃ksjetˈe,ɲʲɛpˈɔkuj,sˈoronɡaːʃ,ˈaŋxos,ˈɑŋst
emotions,apprehension,ˌæpɹihˈɛnʃən,fˈɛstnˌɑːmə,ˈaːnhˌʌʊdɪŋ,zˈadr̩ʒˌeɲiː,apːrensjˈone,ˌapɾensjˈon,ˌɐpɹieɪŋsˈɐ̃ʊ̃,ˌɨŋɡriʒoɾˈaɾe,bʔekˈʔœmʁʔeŋ,apʁeɑ̃sjˈɔ̃,zˌatʃɨmˈaɲʲɛ,fˈɛlfoɡaːʃ,sˈilipsˌi,bəxˈymrɪŋ
emotions,assertive,ɐsˈɜːɾɪv,dˈʊɐçzˌɛtsʊŋsfˌɛːɪç,ˌɑsərtˈif,ˈasercˌivɲiː,assertˈivo,ˌaseɾtˈiβo,ˌɐsɨɾətˈivʊ,ˌasertˈiv,sˈεlsʔekˌʔʌ,afiʁmatˈif,ˌasɛrtˈɨvnɨ,ˈɑssɛrtiːv,ˌaftopepˈiθisˌi,sˈɛlvsɪkːər
emotions,assured,əʃˈʊɹd,tsˈuːɡeːzˌɪçɜt,vərzˈeːkərt,zˈajiʃcˌeno,assikʊrˈato,ˌaseɣuɾˈaðo,ˌɐsɨɡuɾˈadʊ,ˌasiɡuɾˈat,fʔʌsˈʔekɐ̯ʔʌð,asyʁˈe,zˌapɛvɲʲˈɔnɨ,bˈistoʃiːtotː,ˌeksasfˌalismˈeno,fˈɔrʃɪkrət
emotions,astonishment,ɐstˈɑːnɪʃmənt,ɛɾʃtˈaʊnən,vərbˈaːzɪŋ,ˈuːɟiv,stʊpˈore,asˈombɾo,ʃpˈɐ̃ŋtʊ,uɪmˈiɾe,fʔʌblˈʔœfəlsə,etɔnmˈɑ̃,zdumjˈɛɲʲɛ,mˈɛɡdøbːɛneːʃ,ˈekpliksˌi,fˈɔrblœffˌɛlsa
emotions,attachment,ɐtˈætʃmənt,ˈanhˌaŋ,bˈɛɪlˌaːɣə,pr̝̊ˈiːloha,atːakːamˈento,aɾtʃˈiβo aðxˈunto,ɐnˈɛksʊ,ˌataʃamˈent,ʋˈʔeðhεftnˌʔeŋ,ataʃmˈɑ̃,zawˈɔntʃɲik,mˈɛlleːklɛt,sˌinimˈeno,vˈɛdlɛɡː
emotions,attraction,ɐtɹˈækʃən,ˈantsˌiːʊŋskɾˌaft,ˈaːntrˌɛkɪŋskrˌɑxt,ˈatraktse,atːratsiˈone,ˌatɾakθjˈon,ˌɐtɹɐsˈɐ̃ʊ̃,atrˈaktsiˌe,tˈʔeltʁ?aknˌʔeŋsɡʁ?ɑft,atʁaksjˈɔ̃,ˌatraktsˈɨjnɔɕtɕ,vˈonzaːʃ,ˈelksi,ˈɑtːrɑkʃˌuːn
emotions,awe,ˈɔː,ˈeːɾfʊɐçt,ɔntzˈɑx,ˈuːtsta,sodʒːetsiˈone,asˈombɾo,pɐvˈoɹ,uɪmˈiɾe,ˈɛʌfʁˌʔœɡt,kʁˈɛ̃t,pˈɔdʑif,ˈɑvɛ,ðˈeos,ˈaːrəfrˌykt
emotions,beleaguered,bᵻlˈiːɡɚd,bədɾˈɛŋt,bəlˈeːɣərt,ˈopkliːtʃˌeniː,assedjˈato,ˌaseðjˈaðo,sˌeɾəkˈadʊ,ˌɨntʃerkwˈitə,bʔelˈ?ɑjɐ̯ʔʌt,asjeʒˈe,ˌɔblɛ̃ʒˈɔnɨ,ˈoʃtromlotː,pˌoʎorcimˈeno,bəlˈaɪrət
emotions,bewitched,bᵻwˈɪtʃt,fɛɾtsˈaʊbɜt,bəhˈɛkst,ˈotʃarˌovaniː,streɡˈato,ˌembɾuxˈaða,ˌeɪŋfeɪtisˈadʊ,vrəʒˈit,fʔʌhˈεksəð,ɑ̃sɔʁsəlˈe,ˌɔtʃarɔvˈanɨ,mˈɛɡbɑbonaːzvɑ,(en)bɪwˈɪtʃt(el),fˈɔrhɛksət
emotions,bitterness,bˈɪtɚnəs,bˈɪtɜkˌaɪt,bˈɪtərhˌɛɪt,hˈor̝kost,amarˈetsːa,ˌamaɾɣˈuɾa,ɐmɐɾəɡˈuɾɐ,ˌaməɾətʃˈune,bˈʔetʔʌhˌʔeð,amɛʁtˈym,ɡˈɔrɨtʃ,kˈɛʃɛryːʃeːɡ,pikrˈia,bˈɪtːarhət
